Sep 19, 2019  03:25:17 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.72E-004 
Filament Current, 1.00, mAmps


  1.00,   2.42E-009, 
  1.10,   3.09E-009, 
  1.20,   1.23E-007, 
  1.30,   3.33E-007, 
  1.40,   2.98E-007, 
  1.50,   2.25E-007, 
  1.60,   1.86E-007, 
  1.70,   1.90E-007, 
  1.80,   1.86E-007, 
  1.90,   1.83E-007, 
  2.00,   1.72E-007, 
  2.10,   1.71E-007, 
  2.20,   1.48E-007, 
  2.30,   1.31E-007, 
  2.40,   9.59E-008, 
  2.50,   3.40E-008, 
  2.60,   9.09E-009, 
  2.70,   4.13E-009, 
  2.80,   2.42E-009, 
  2.90,   1.54E-009, 
  3.00,   1.02E-009, 
  3.10,   9.28E-010, 
  3.20,   6.41E-010, 
  3.30,   4.42E-010, 
  3.40,   4.48E-010, 
  3.50,   4.04E-010, 
  3.60,   3.48E-010, 
  3.70,   3.30E-010, 
  3.80,   2.12E-010, 
  3.90,   1.74E-010, 
  4.00,   1.76E-010, 
  4.10,   1.60E-010, 
  4.20,   1.38E-010, 
  4.30,   6.74E-011, 
  4.40,   1.03E-010, 
  4.50,   1.05E-010, 
  4.60,   7.91E-011, 
  4.70,   2.44E-011, 
  4.80,   1.05E-011, 
  4.90,   9.30E-012, 
  5.00,  -8.14E-012, 
  5.10,  -6.63E-011, 
  5.20,  -3.49E-011, 
  5.30,   2.09E-011, 
  5.40,  -2.21E-011, 
  5.50,  -1.35E-010, 
  5.60,  -1.52E-010, 
  5.70,  -1.14E-010, 
  5.80,  -4.01E-011, 
  5.90,  -3.02E-011, 
  6.00,  -4.71E-011, 
  6.10,  -5.99E-011, 
  6.20,  -2.79E-011, 
  6.30,  -4.65E-011, 
  6.40,  -7.56E-011, 
  6.50,  -4.65E-011, 
  6.60,  -7.91E-011, 
  6.70,  -2.91E-012, 
  6.80,   6.16E-011, 
  6.90,   1.45E-011, 
  7.00,  -3.78E-011, 
  7.10,  -2.62E-011, 
  7.20,   2.33E-011, 
  7.30,  -4.19E-011, 
  7.40,   5.23E-012, 
  7.50,  -6.57E-011, 
  7.60,  -9.19E-011, 
  7.70,  -2.62E-011, 
  7.80,   2.15E-011, 
  7.90,   6.98E-011, 
  8.00,   9.24E-011, 
  8.10,   2.67E-011, 
  8.20,  -6.63E-011, 
  8.30,  -6.28E-011, 
  8.40,  -8.08E-011, 
  8.50,  -2.67E-011, 
  8.60,   5.29E-011, 
  8.70,   7.33E-011, 
  8.80,   6.40E-012, 
  8.90,  -8.14E-012, 
  9.00,  -9.88E-012, 
  9.10,  -4.19E-011, 
  9.20,   1.86E-011, 
  9.30,   7.85E-011, 
  9.40,   8.26E-011, 
  9.50,   7.27E-011, 
  9.60,  -3.20E-011, 
  9.70,  -9.13E-011, 
  9.80,  -4.36E-011, 
  9.90,   3.66E-011, 
 10.00,  -2.85E-011, 
 10.10,  -4.13E-011, 
 10.20,  -6.51E-011, 
 10.30,  -1.26E-010, 
 10.40,  -1.16E-010, 
 10.50,  -3.14E-011, 
 10.60,   7.79E-011, 
 10.70,   8.84E-011, 
 10.80,   3.43E-011, 
 10.90,  -1.01E-010, 
 11.00,  -9.48E-011, 
 11.10,  -4.94E-011, 
 11.20,   3.55E-011, 
 11.30,   7.03E-011, 
 11.40,   1.39E-010, 
 11.50,   4.19E-010, 
 11.60,   1.29E-009, 
 11.70,   2.98E-009, 
 11.80,   4.80E-009, 
 11.90,   6.00E-009, 
 12.00,   6.66E-009, 
 12.10,   7.13E-009, 
 12.20,   7.07E-009, 
 12.30,   6.65E-009, 
 12.40,   5.61E-009, 
 12.50,   3.57E-009, 
 12.60,   2.65E-009, 
 12.70,   2.88E-009, 
 12.80,   3.62E-009, 
 12.90,   4.31E-009, 
 13.00,   4.86E-009, 
 13.10,   5.37E-009, 
 13.20,   5.36E-009, 
 13.30,   5.27E-009, 
 13.40,   4.80E-009, 
 13.50,   3.98E-009, 
 13.60,   5.12E-009, 
 13.70,   9.94E-009, 
 13.80,   1.71E-008, 
 13.90,   2.20E-008, 
 14.00,   2.41E-008, 
 14.10,   2.55E-008, 
 14.20,   2.45E-008, 
 14.30,   2.34E-008, 
 14.40,   2.01E-008, 
 14.50,   1.21E-008, 
 14.60,   1.07E-008, 
 14.70,   1.98E-008, 
 14.80,   3.48E-008, 
 14.90,   4.39E-008, 
 15.00,   4.62E-008, 
 15.10,   4.95E-008, 
 15.20,   4.63E-008, 
 15.30,   4.49E-008, 
 15.40,   3.92E-008, 
 15.50,   2.24E-008, 
 15.60,   1.70E-008, 
 15.70,   3.02E-008, 
 15.80,   4.73E-008, 
 15.90,   5.57E-008, 
 16.00,   6.06E-008, 
 16.10,   6.21E-008, 
 16.20,   6.08E-008, 
 16.30,   5.79E-008, 
 16.40,   5.53E-008, 
 16.50,   5.55E-008, 
 16.60,   1.30E-007, 
 16.70,   3.06E-007, 
 16.80,   4.48E-007, 
 16.90,   4.87E-007, 
 17.00,   5.25E-007, 
 17.10,   5.18E-007, 
 17.20,   5.10E-007, 
 17.30,   4.50E-007, 
 17.40,   3.98E-007, 
 17.50,   2.23E-007, 
 17.60,   5.14E-007, 
 17.70,   1.15E-006, 
 17.80,   1.73E-006, 
 17.90,   1.95E-006, 
 18.00,   2.10E-006, 
 18.10,   2.12E-006, 
 18.20,   2.00E-006, 
 18.30,   1.75E-006, 
 18.40,   1.44E-006, 
 18.50,   1.85E-007, 
 18.60,   2.00E-008, 
 18.70,   1.00E-008, 
 18.80,   8.75E-009, 
 18.90,   8.97E-009, 
 19.00,   9.42E-009, 
 19.10,   1.02E-008, 
 19.20,   9.64E-009, 
 19.30,   9.56E-009, 
 19.40,   8.43E-009, 
 19.50,   5.57E-009, 
 19.60,   3.27E-009, 
 19.70,   2.80E-009, 
 19.80,   3.43E-009, 
 19.90,   4.60E-009, 
 20.00,   5.60E-009, 
 20.10,   6.16E-009, 
 20.20,   6.22E-009, 
 20.30,   6.10E-009, 
 20.40,   5.46E-009, 
 20.50,   3.93E-009, 
 20.60,   2.15E-009, 
 20.70,   1.21E-009, 
 20.80,   8.33E-010, 
 20.90,   4.87E-010, 
 21.00,   2.82E-010, 
 21.10,   2.28E-010, 
 21.20,   1.78E-010, 
 21.30,   6.86E-011, 
 21.40,   1.59E-010, 
 21.50,   1.55E-010, 
 21.60,   1.59E-010, 
 21.70,   1.22E-010, 
 21.80,   1.34E-010, 
 21.90,   2.93E-010, 
 22.00,   4.06E-010, 
 22.10,   3.77E-010, 
 22.20,   3.92E-010, 
 22.30,   5.54E-010, 
 22.40,   5.20E-010, 
 22.50,   3.30E-010, 
 22.60,   2.27E-010, 
 22.70,   1.46E-010, 
 22.80,   4.07E-011, 
 22.90,  -5.76E-011, 
 23.00,   2.85E-011, 
 23.10,  -4.65E-012, 
 23.20,  -1.33E-010, 
 23.30,  -4.94E-011, 
 23.40,  -1.05E-010, 
 23.50,  -3.14E-011, 
 23.60,  -4.07E-012, 
 23.70,   4.88E-011, 
 23.80,   7.85E-011, 
 23.90,   2.50E-010, 
 24.00,   2.81E-010, 
 24.10,   3.18E-010, 
 24.20,   3.26E-010, 
 24.30,   3.64E-010, 
 24.40,   4.21E-010, 
 24.50,   3.67E-010, 
 24.60,   2.99E-010, 
 24.70,   3.09E-010, 
 24.80,   5.33E-010, 
 24.90,   8.80E-010, 
 25.00,   1.12E-009, 
 25.10,   1.32E-009, 
 25.20,   1.47E-009, 
 25.30,   1.59E-009, 
 25.40,   1.54E-009, 
 25.50,   1.35E-009, 
 25.60,   1.10E-009, 
 25.70,   1.40E-009, 
 25.80,   2.73E-009, 
 25.90,   4.71E-009, 
 26.00,   6.32E-009, 
 26.10,   7.54E-009, 
 26.20,   8.05E-009, 
 26.30,   8.29E-009, 
 26.40,   7.90E-009, 
 26.50,   6.56E-009, 
 26.60,   4.20E-009, 
 26.70,   3.85E-009, 
 26.80,   5.86E-009, 
 26.90,   1.02E-008, 
 27.00,   1.39E-008, 
 27.10,   1.66E-008, 
 27.20,   1.77E-008, 
 27.30,   1.82E-008, 
 27.40,   1.72E-008, 
 27.50,   1.54E-008, 
 27.60,   1.48E-008, 
 27.70,   2.37E-008, 
 27.80,   5.84E-008, 
 27.90,   9.73E-008, 
 28.00,   1.10E-007, 
 28.10,   1.24E-007, 
 28.20,   1.17E-007, 
 28.30,   1.20E-007, 
 28.40,   9.81E-008, 
 28.50,   5.70E-008, 
 28.60,   1.47E-008, 
 28.70,   7.89E-009, 
 28.80,   8.86E-009, 
 28.90,   1.40E-008, 
 29.00,   1.90E-008, 
 29.10,   2.25E-008, 
 29.20,   2.37E-008, 
 29.30,   2.39E-008, 
 29.40,   2.15E-008, 
 29.50,   1.62E-008, 
 29.60,   7.57E-009, 
 29.70,   4.08E-009, 
 29.80,   3.13E-009, 
 29.90,   3.49E-009, 
 30.00,   3.97E-009, 
 30.10,   4.61E-009, 
 30.20,   4.97E-009, 
 30.30,   5.25E-009, 
 30.40,   4.92E-009, 
 30.50,   4.06E-009, 
 30.60,   2.47E-009, 
 30.70,   1.46E-009, 
 30.80,   1.23E-009, 
 30.90,   1.62E-009, 
 31.00,   2.08E-009, 
 31.10,   2.55E-009, 
 31.20,   2.83E-009, 
 31.30,   3.00E-009, 
 31.40,   3.07E-009, 
 31.50,   2.77E-009, 
 31.60,   2.34E-009, 
 31.70,   3.00E-009, 
 31.80,   5.33E-009, 
 31.90,   9.77E-009, 
 32.00,   1.36E-008, 
 32.10,   1.70E-008, 
 32.20,   1.80E-008, 
 32.30,   1.84E-008, 
 32.40,   1.63E-008, 
 32.50,   1.19E-008, 
 32.60,   5.52E-009, 
 32.70,   2.79E-009, 
 32.80,   1.63E-009, 
 32.90,   1.10E-009, 
 33.00,   8.72E-010, 
 33.10,   6.43E-010, 
 33.20,   5.55E-010, 
 33.30,   6.03E-010, 
 33.40,   4.72E-010, 
 33.50,   3.49E-010, 
 33.60,   2.55E-010, 
 33.70,   3.05E-010, 
 33.80,   2.85E-010, 
 33.90,   3.11E-010, 
 34.00,   3.94E-010, 
 34.10,   5.80E-010, 
 34.20,   6.87E-010, 
 34.30,   6.83E-010, 
 34.40,   6.33E-010, 
 34.50,   5.19E-010, 
 34.60,   3.57E-010, 
 34.70,   2.33E-010, 
 34.80,   2.56E-010, 
 34.90,   3.26E-010, 
 35.00,   4.03E-010, 
 35.10,   4.53E-010, 
 35.20,   3.95E-010, 
 35.30,   3.39E-010, 
 35.40,   4.76E-010, 
 35.50,   3.72E-010, 
 35.60,   2.70E-010, 
 35.70,   3.27E-010, 
 35.80,   4.58E-010, 
 35.90,   9.77E-010, 
 36.00,   1.62E-009, 
 36.10,   2.12E-009, 
 36.20,   2.38E-009, 
 36.30,   2.46E-009, 
 36.40,   2.31E-009, 
 36.50,   1.88E-009, 
 36.60,   1.05E-009, 
 36.70,   7.10E-010, 
 36.80,   5.30E-010, 
 36.90,   4.47E-010, 
 37.00,   6.84E-010, 
 37.10,   8.59E-010, 
 37.20,   9.63E-010, 
 37.30,   1.05E-009, 
 37.40,   9.92E-010, 
 37.50,   9.48E-010, 
 37.60,   6.72E-010, 
 37.70,   4.16E-010, 
 37.80,   5.08E-010, 
 37.90,   8.80E-010, 
 38.00,   1.26E-009, 
 38.10,   1.65E-009, 
 38.20,   2.01E-009, 
 38.30,   2.20E-009, 
 38.40,   2.23E-009, 
 38.50,   2.06E-009, 
