Sep 19, 2019  04:20:11 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.72E-004 
Filament Current, 1.00, mAmps


  1.00,   2.13E-009, 
  1.10,   2.25E-009, 
  1.20,   2.80E-008, 
  1.30,   1.90E-007, 
  1.40,   2.08E-007, 
  1.50,   3.44E-007, 
  1.60,   4.13E-007, 
  1.70,   4.52E-007, 
  1.80,   4.93E-007, 
  1.90,   4.84E-007, 
  2.00,   4.76E-007, 
  2.10,   4.46E-007, 
  2.20,   3.96E-007, 
  2.30,   3.36E-007, 
  2.40,   2.27E-007, 
  2.50,   5.74E-008, 
  2.60,   1.11E-008, 
  2.70,   4.93E-009, 
  2.80,   2.75E-009, 
  2.90,   1.68E-009, 
  3.00,   1.19E-009, 
  3.10,   8.97E-010, 
  3.20,   6.89E-010, 
  3.30,   4.88E-010, 
  3.40,   4.11E-010, 
  3.50,   3.28E-010, 
  3.60,   2.30E-010, 
  3.70,   1.73E-010, 
  3.80,   4.83E-011, 
  3.90,  -2.73E-011, 
  4.00,  -1.01E-010, 
  4.10,  -9.77E-011, 
  4.20,  -5.58E-011, 
  4.30,  -9.24E-011, 
  4.40,  -1.22E-011, 
  4.50,  -1.04E-010, 
  4.60,  -1.62E-010, 
  4.70,  -1.52E-010, 
  4.80,  -1.79E-010, 
  4.90,  -2.01E-010, 
  5.00,  -1.09E-010, 
  5.10,  -3.20E-011, 
  5.20,   1.74E-012, 
  5.30,   4.53E-011, 
  5.40,  -2.44E-011, 
  5.50,  -7.97E-011, 
  5.60,  -5.23E-011, 
  5.70,  -9.48E-011, 
  5.80,  -1.03E-010, 
  5.90,  -1.24E-010, 
  6.00,  -1.38E-010, 
  6.10,  -1.50E-010, 
  6.20,  -7.73E-011, 
  6.30,  -9.53E-011, 
  6.40,  -1.27E-010, 
  6.50,  -1.40E-010, 
  6.60,  -1.52E-010, 
  6.70,  -1.02E-010, 
  6.80,  -1.01E-010, 
  6.90,   6.28E-011, 
  7.00,   5.41E-011, 
  7.10,  -1.16E-012, 
  7.20,   4.30E-011, 
  7.30,   1.05E-011, 
  7.40,  -2.44E-011, 
  7.50,   6.40E-012, 
  7.60,  -5.29E-011, 
  7.70,  -1.57E-011, 
  7.80,  -6.05E-011, 
  7.90,  -1.20E-010, 
  8.00,  -7.44E-011, 
  8.10,  -1.42E-010, 
  8.20,  -1.65E-010, 
  8.30,  -9.65E-011, 
  8.40,  -1.53E-010, 
  8.50,  -1.49E-010, 
  8.60,  -1.24E-010, 
  8.70,  -1.02E-010, 
  8.80,  -6.05E-011, 
  8.90,  -7.91E-011, 
  9.00,  -9.59E-011, 
  9.10,  -1.28E-010, 
  9.20,  -8.55E-011, 
  9.30,  -1.63E-011, 
  9.40,  -3.84E-011, 
  9.50,  -2.79E-011, 
  9.60,  -3.02E-011, 
  9.70,  -8.55E-011, 
  9.80,  -3.55E-011, 
  9.90,  -1.27E-010, 
 10.00,  -1.24E-010, 
 10.10,  -1.56E-010, 
 10.20,  -9.30E-011, 
 10.30,  -4.48E-011, 
 10.40,  -1.45E-011, 
 10.50,  -1.61E-010, 
 10.60,  -1.50E-010, 
 10.70,  -7.50E-011, 
 10.80,  -1.23E-010, 
 10.90,  -1.38E-010, 
 11.00,  -1.41E-010, 
 11.10,  -1.17E-010, 
 11.20,  -5.76E-011, 
 11.30,   4.19E-011, 
 11.40,   8.55E-011, 
 11.50,   1.66E-010, 
 11.60,   9.76E-010, 
 11.70,   2.51E-009, 
 11.80,   4.49E-009, 
 11.90,   6.01E-009, 
 12.00,   7.13E-009, 
 12.10,   7.41E-009, 
 12.20,   7.25E-009, 
 12.30,   6.67E-009, 
 12.40,   5.55E-009, 
 12.50,   3.34E-009, 
 12.60,   2.86E-009, 
 12.70,   4.40E-009, 
 12.80,   7.04E-009, 
 12.90,   9.08E-009, 
 13.00,   1.02E-008, 
 13.10,   1.10E-008, 
 13.20,   1.07E-008, 
 13.30,   9.87E-009, 
 13.40,   8.72E-009, 
 13.50,   5.78E-009, 
 13.60,   7.14E-009, 
 13.70,   1.71E-008, 
 13.80,   3.29E-008, 
 13.90,   4.10E-008, 
 14.00,   4.55E-008, 
 14.10,   4.57E-008, 
 14.20,   4.42E-008, 
 14.30,   3.96E-008, 
 14.40,   3.29E-008, 
 14.50,   1.58E-008, 
 14.60,   1.64E-008, 
 14.70,   4.33E-008, 
 14.80,   7.94E-008, 
 14.90,   9.39E-008, 
 15.00,   1.03E-007, 
 15.10,   1.02E-007, 
 15.20,   9.79E-008, 
 15.30,   8.68E-008, 
 15.40,   7.26E-008, 
 15.50,   2.63E-008, 
 15.60,   1.14E-008, 
 15.70,   1.51E-008, 
 15.80,   2.57E-008, 
 15.90,   3.38E-008, 
 16.00,   3.85E-008, 
 16.10,   4.00E-008, 
 16.20,   3.88E-008, 
 16.30,   3.63E-008, 
 16.40,   3.12E-008, 
 16.50,   1.90E-008, 
 16.60,   3.18E-008, 
 16.70,   8.76E-008, 
 16.80,   1.44E-007, 
 16.90,   1.62E-007, 
 17.00,   1.79E-007, 
 17.10,   1.73E-007, 
 17.20,   1.72E-007, 
 17.30,   1.50E-007, 
 17.40,   1.22E-007, 
 17.50,   4.93E-008, 
 17.60,   1.46E-007, 
 17.70,   3.89E-007, 
 17.80,   6.15E-007, 
 17.90,   6.93E-007, 
 18.00,   7.66E-007, 
 18.10,   7.52E-007, 
 18.20,   7.40E-007, 
 18.30,   6.34E-007, 
 18.40,   4.97E-007, 
 18.50,   6.73E-008, 
 18.60,   1.23E-008, 
 18.70,   6.21E-009, 
 18.80,   4.50E-009, 
 18.90,   3.86E-009, 
 19.00,   3.76E-009, 
 19.10,   4.01E-009, 
 19.20,   3.75E-009, 
 19.30,   3.64E-009, 
 19.40,   3.20E-009, 
 19.50,   2.13E-009, 
 19.60,   1.29E-009, 
 19.70,   1.04E-009, 
 19.80,   1.23E-009, 
 19.90,   1.48E-009, 
 20.00,   1.81E-009, 
 20.10,   1.86E-009, 
 20.20,   1.94E-009, 
 20.30,   1.89E-009, 
 20.40,   1.75E-009, 
 20.50,   1.20E-009, 
 20.60,   6.31E-010, 
 20.70,   4.21E-010, 
 20.80,   2.86E-010, 
 20.90,   1.91E-010, 
 21.00,   1.98E-010, 
 21.10,   9.30E-011, 
 21.20,  -2.91E-012, 
 21.30,  -3.90E-011, 
 21.40,  -1.03E-010, 
 21.50,  -9.07E-011, 
 21.60,  -1.05E-011, 
 21.70,   2.73E-011, 
 21.80,  -2.91E-012, 
 21.90,   4.07E-012, 
 22.00,   1.13E-010, 
 22.10,   1.37E-010, 
 22.20,   1.84E-010, 
 22.30,   1.52E-010, 
 22.40,   1.31E-010, 
 22.50,  -3.90E-011, 
 22.60,  -5.41E-011, 
 22.70,  -1.63E-011, 
 22.80,  -4.53E-011, 
 22.90,  -4.24E-011, 
 23.00,  -8.31E-011, 
 23.10,  -8.14E-011, 
 23.20,  -2.56E-011, 
 23.30,  -8.49E-011, 
 23.40,  -2.09E-010, 
 23.50,  -2.08E-010, 
 23.60,  -2.88E-010, 
 23.70,  -1.79E-010, 
 23.80,   9.88E-011, 
 23.90,   2.92E-010, 
 24.00,   3.76E-010, 
 24.10,   5.63E-010, 
 24.20,   5.86E-010, 
 24.30,   5.94E-010, 
 24.40,   6.69E-010, 
 24.50,   5.33E-010, 
 24.60,   2.81E-010, 
 24.70,   4.97E-010, 
 24.80,   9.70E-010, 
 24.90,   1.53E-009, 
 25.00,   1.96E-009, 
 25.10,   2.34E-009, 
 25.20,   2.63E-009, 
 25.30,   2.74E-009, 
 25.40,   2.50E-009, 
 25.50,   2.09E-009, 
 25.60,   1.58E-009, 
 25.70,   2.52E-009, 
 25.80,   5.11E-009, 
 25.90,   9.22E-009, 
 26.00,   1.25E-008, 
 26.10,   1.48E-008, 
 26.20,   1.53E-008, 
 26.30,   1.57E-008, 
 26.40,   1.40E-008, 
 26.50,   1.04E-008, 
 26.60,   5.33E-009, 
 26.70,   5.33E-009, 
 26.80,   9.42E-009, 
 26.90,   1.74E-008, 
 27.00,   2.40E-008, 
 27.10,   2.86E-008, 
 27.20,   2.92E-008, 
 27.30,   2.96E-008, 
 27.40,   2.64E-008, 
 27.50,   1.95E-008, 
 27.60,   1.09E-008, 
 27.70,   1.90E-008, 
 27.80,   4.51E-008, 
 27.90,   7.78E-008, 
 28.00,   9.07E-008, 
 28.10,   1.01E-007, 
 28.20,   9.65E-008, 
 28.30,   9.54E-008, 
 28.40,   8.07E-008, 
 28.50,   4.38E-008, 
 28.60,   1.20E-008, 
 28.70,   7.81E-009, 
 28.80,   1.04E-008, 
 28.90,   1.85E-008, 
 29.00,   2.55E-008, 
 29.10,   3.04E-008, 
 29.20,   3.10E-008, 
 29.30,   3.14E-008, 
 29.40,   2.81E-008, 
 29.50,   2.03E-008, 
 29.60,   8.19E-009, 
 29.70,   4.60E-009, 
 29.80,   4.26E-009, 
 29.90,   5.52E-009, 
 30.00,   7.04E-009, 
 30.10,   8.49E-009, 
 30.20,   9.07E-009, 
 30.30,   9.11E-009, 
 30.40,   8.49E-009, 
 30.50,   6.92E-009, 
 30.60,   3.54E-009, 
 30.70,   1.92E-009, 
 30.80,   1.48E-009, 
 30.90,   1.51E-009, 
 31.00,   1.77E-009, 
 31.10,   1.98E-009, 
 31.20,   2.18E-009, 
 31.30,   2.30E-009, 
 31.40,   2.16E-009, 
 31.50,   1.84E-009, 
 31.60,   1.17E-009, 
 31.70,   1.36E-009, 
 31.80,   2.34E-009, 
 31.90,   4.19E-009, 
 32.00,   6.00E-009, 
 32.10,   7.48E-009, 
 32.20,   7.95E-009, 
 32.30,   8.10E-009, 
 32.40,   7.65E-009, 
 32.50,   5.86E-009, 
 32.60,   2.90E-009, 
 32.70,   1.35E-009, 
 32.80,   8.52E-010, 
 32.90,   5.74E-010, 
 33.00,   5.70E-010, 
 33.10,   6.72E-010, 
 33.20,   5.59E-010, 
 33.30,   5.12E-010, 
 33.40,   4.38E-010, 
 33.50,   3.12E-010, 
 33.60,   2.22E-010, 
 33.70,   1.01E-010, 
 33.80,   2.13E-010, 
 33.90,   4.12E-010, 
 34.00,   7.34E-010, 
 34.10,   9.82E-010, 
 34.20,   1.09E-009, 
 34.30,   1.22E-009, 
 34.40,   1.16E-009, 
 34.50,   6.98E-010, 
 34.60,   2.94E-010, 
 34.70,   1.34E-010, 
 34.80,  -4.77E-011, 
 34.90,  -4.94E-011, 
 35.00,  -1.74E-012, 
 35.10,   4.07E-011, 
 35.20,   2.56E-011, 
 35.30,   7.50E-011, 
 35.40,   8.14E-012, 
 35.50,  -5.99E-011, 
 35.60,  -1.09E-010, 
 35.70,  -4.42E-011, 
 35.80,   5.93E-011, 
 35.90,   2.54E-010, 
 36.00,   4.63E-010, 
 36.10,   7.18E-010, 
 36.20,   8.76E-010, 
 36.30,   8.68E-010, 
 36.40,   8.16E-010, 
 36.50,   6.88E-010, 
 36.60,   3.03E-010, 
 36.70,   1.56E-010, 
 36.80,   2.15E-010, 
 36.90,   3.41E-010, 
 37.00,   5.12E-010, 
 37.10,   6.64E-010, 
 37.20,   8.56E-010, 
 37.30,   9.08E-010, 
 37.40,   8.47E-010, 
 37.50,   8.13E-010, 
 37.60,   5.85E-010, 
 37.70,   3.48E-010, 
 37.80,   4.63E-010, 
 37.90,   7.16E-010, 
 38.00,   1.14E-009, 
 38.10,   1.55E-009, 
 38.20,   1.97E-009, 
 38.30,   2.09E-009, 
