Sep 19, 2019  07:01:52 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1981 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 20
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.72E-004 
Filament Current, 1.00, mAmps


  1.00,   9.78E-010, 
  1.05,   9.40E-010, 
  1.10,   1.02E-009, 
  1.15,   1.96E-009, 
  1.20,   8.12E-009, 
  1.25,   6.07E-008, 
  1.30,   1.28E-007, 
  1.35,   1.30E-007, 
  1.40,   1.01E-007, 
  1.45,   6.77E-008, 
  1.50,   1.02E-007, 
  1.55,   1.47E-007, 
  1.60,   1.68E-007, 
  1.65,   1.87E-007, 
  1.70,   2.04E-007, 
  1.75,   2.07E-007, 
  1.80,   2.07E-007, 
  1.85,   2.17E-007, 
  1.90,   2.22E-007, 
  1.95,   2.07E-007, 
  2.00,   1.97E-007, 
  2.05,   2.04E-007, 
  2.10,   2.02E-007, 
  2.15,   1.77E-007, 
  2.20,   1.75E-007, 
  2.25,   1.72E-007, 
  2.30,   1.42E-007, 
  2.35,   1.34E-007, 
  2.40,   9.38E-008, 
  2.45,   4.41E-008, 
  2.50,   1.88E-008, 
  2.55,   1.01E-008, 
  2.60,   6.50E-009, 
  2.65,   4.55E-009, 
  2.70,   3.25E-009, 
  2.75,   2.46E-009, 
  2.80,   1.86E-009, 
  2.85,   1.45E-009, 
  2.90,   1.17E-009, 
  2.95,   8.47E-010, 
  3.00,   7.61E-010, 
  3.05,   6.31E-010, 
  3.10,   5.71E-010, 
  3.15,   5.65E-010, 
  3.20,   4.69E-010, 
  3.25,   4.07E-010, 
  3.30,   3.58E-010, 
  3.35,   2.72E-010, 
  3.40,   2.79E-010, 
  3.45,   2.06E-010, 
  3.50,   2.18E-010, 
  3.55,   1.21E-010, 
  3.60,   4.53E-011, 
  3.65,   3.78E-011, 
  3.70,  -1.51E-011, 
  3.75,  -4.07E-012, 
  3.80,   9.01E-011, 
  3.85,  -3.31E-011, 
